océan,image,coordonnées_géographiques,nature_de_l_élément,nature_de_l_élémentLabel,pays,paysLabel,catégorie_Commons
http://www.wikidata.org/entity/Q408217,http://commons.wikimedia.org/wiki/Special:FilePath/Santiagofromsea.jpg,Point(-90.7 -0.25),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q736,Équateur,Santiago (Galápagos)
http://www.wikidata.org/entity/Q408217,http://commons.wikimedia.org/wiki/Special:FilePath/Santiagofromsea.jpg,Point(-90.7 -0.25),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q736,Équateur,Santiago (Galápagos)
http://www.wikidata.org/entity/Q457596,http://commons.wikimedia.org/wiki/Special:FilePath/Feni%20Islands%20NASA.jpg,Point(153.621388888 -4.080833333),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q691,Papouasie-Nouvelle-Guinée,Ambitle
http://www.wikidata.org/entity/Q457596,http://commons.wikimedia.org/wiki/Special:FilePath/Feni%20Islands%20NASA.jpg,Point(153.95 -4.083333333),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q691,Papouasie-Nouvelle-Guinée,Ambitle
http://www.wikidata.org/entity/Q457596,http://commons.wikimedia.org/wiki/Special:FilePath/Feni%20Islands%20NASA.jpg,Point(153.621388888 -4.080833333),http://www.wikidata.org/entity/Q8502,montagne,http://www.wikidata.org/entity/Q691,Papouasie-Nouvelle-Guinée,Ambitle
http://www.wikidata.org/entity/Q457596,http://commons.wikimedia.org/wiki/Special:FilePath/Feni%20Islands%20NASA.jpg,Point(153.95 -4.083333333),http://www.wikidata.org/entity/Q8502,montagne,http://www.wikidata.org/entity/Q691,Papouasie-Nouvelle-Guinée,Ambitle
http://www.wikidata.org/entity/Q457596,http://commons.wikimedia.org/wiki/Special:FilePath/Feni%20Islands%20NASA.jpg,Point(153.621388888 -4.080833333),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q691,Papouasie-Nouvelle-Guinée,Ambitle
http://www.wikidata.org/entity/Q457596,http://commons.wikimedia.org/wiki/Special:FilePath/Feni%20Islands%20NASA.jpg,Point(153.95 -4.083333333),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q691,Papouasie-Nouvelle-Guinée,Ambitle
http://www.wikidata.org/entity/Q605355,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A1bida%20Island.jpg,Point(-90.709 -0.413),http://www.wikidata.org/entity/Q8072,volcan,http://www.wikidata.org/entity/Q736,Équateur,Rábida Island
http://www.wikidata.org/entity/Q605355,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A1bida%20Island.jpg,Point(-90.709 -0.413),http://www.wikidata.org/entity/Q23442,île,http://www.wikidata.org/entity/Q736,Équateur,Rábida Island
